lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,138669723,2692,2700.783,120
Flat Combining (fair),1,1,139649975,903,2709.015,120
Flat Combining (fair),2,2,138445623,2689,2699.283,120
Flat Combining (fair),3,3,138951107,899,2706.370,120
Flat Combining (fair),4,4,138578525,2691,2700.386,120
Flat Combining (fair),5,5,138662650,898,2708.264,120
Flat Combining (fair),6,6,138588277,2691,2700.976,120
Flat Combining (fair),7,7,139046767,900,2707.943,120
Flat Combining (fair),8,8,138649267,2693,2701.308,120
Flat Combining (fair),9,9,139110246,901,2708.256,120
Flat Combining (fair),10,10,138693191,2693,2700.694,120
Flat Combining (fair),11,11,138562884,898,2709.582,120
Flat Combining (fair),12,12,138234068,2685,2700.786,120
Flat Combining (fair),13,13,139590152,903,2709.024,120
Flat Combining (fair),14,14,138616825,2692,2700.901,120
Flat Combining (fair),15,15,139406968,902,2706.022,120
Flat Combining (fair),16,16,138604025,2692,2699.293,120
Flat Combining (fair),17,17,138882982,899,2706.369,120
Flat Combining (fair),18,18,139050994,2699,2699.054,120
Flat Combining (fair),19,19,138972547,900,2708.377,120
Flat Combining (fair),20,20,138445940,2689,2703.711,120
Flat Combining (fair),21,21,139408855,902,2706.021,120
Flat Combining (fair),22,22,139062551,2699,2699.065,120
Flat Combining (fair),23,23,139409415,902,2706.017,120
Flat Combining (fair),24,24,139079228,2700,2700.056,120
Flat Combining (fair),25,25,138899949,900,2706.390,120
Flat Combining (fair),26,26,138667820,2693,2700.283,120
Flat Combining (fair),27,27,139075029,900,2708.363,120
Flat Combining (fair),28,28,139113978,2700,2700.057,120
Flat Combining (fair),29,29,139266606,901,2706.516,120
Flat Combining (fair),30,30,139125149,2700,2700.050,120
Flat Combining (fair),31,31,138410670,897,2706.112,120
Flat Combining (fair),32,32,138710516,2693,2700.279,120
Flat Combining (fair),33,33,139442500,902,2706.017,120
Flat Combining (fair),34,34,138524751,2690,2699.994,120
Flat Combining (fair),35,35,138961506,900,2707.250,120
Flat Combining (fair),36,36,139000964,2698,2698.404,120
Flat Combining (fair),37,37,138839035,899,2708.889,120
Flat Combining (fair),38,38,139085255,2699,2699.049,120
Flat Combining (fair),39,39,139421930,902,2706.022,120
